Time (s),C1 (V),C2 (V)
-0.0412193535514765,5.47450464726981,4.82494389872941
-0.0411943535514765,5.47450464726981,4.82494389872941
-0.0411693535514765,5.47450464726981,4.82494389872941
-0.0411443535514764,5.47450464726981,4.82142503335752
-0.0411193535514765,5.47450464726981,4.82142503335752
-0.0410943535514765,5.47806169823719,4.82142503335752
-0.0410693535514765,5.47450464726981,4.82142503335752
-0.0410443535514765,5.47450464726981,4.82142503335752
-0.0410193535514765,5.47450464726981,4.82494389872941
-0.0409943535514765,5.47450464726981,4.82142503335752
-0.0409693535514765,5.47450464726981,4.82494389872941
-0.0409443535514765,5.47806169823719,4.82494389872941
-0.0409193535514765,5.47450464726981,4.82142503335752
-0.0408943535514765,5.47450464726981,4.82142503335752
-0.0408693535514764,5.47450464726981,4.82494389872941
-0.0408443535514765,5.47450464726981,4.82142503335752
-0.0408193535514765,5.47806169823719,4.82142503335752
-0.0407943535514765,5.47806169823719,4.82142503335752
-0.0407693535514765,5.47450464726981,4.82494389872941
-0.0407443535514765,5.47450464726981,4.82142503335752
-0.0407193535514765,5.47806169823719,4.82142503335752
-0.0406943535514765,5.47450464726981,4.82142503335752
-0.0406693535514764,5.47450464726981,4.82494389872941
-0.0406443535514765,5.47806169823719,4.82494389872941
-0.0406193535514765,5.47450464726981,4.82494389872941
-0.0405943535514765,5.47806169823719,4.82494389872941
-0.0405693535514765,5.47806169823719,4.82142503335752
-0.0405443535514765,5.47450464726981,4.82142503335752
-0.0405193535514765,5.47450464726981,4.82494389872941
-0.0404943535514765,5.47806169823719,4.82494389872941
-0.0404693535514764,5.47450464726981,4.82142503335752
-0.0404443535514765,5.47806169823719,4.82494389872941
-0.0404193535514765,5.47806169823719,4.82494389872941
-0.0403943535514765,5.47806169823719,4.82494389872941
-0.0403693535514765,5.47450464726981,4.82494389872941
-0.0403443535514764,5.47806169823719,4.82494389872941
-0.0403193535514765,5.47806169823719,4.82142503335752
-0.0402943535514765,5.47450464726981,4.82142503335752
-0.0402693535514765,5.47450464726981,4.82494389872941
-0.0402443535514765,5.47450464726981,4.82142503335752
-0.0402193535514764,5.47806169823719,4.82494389872941
-0.0401943535514765,5.47450464726981,4.82142503335752
-0.0401693535514765,5.47450464726981,4.82142503335752
-0.0401443535514764,5.47450464726981,4.82142503335752
-0.0401193535514765,5.47450464726981,4.82142503335752
-0.0400943535514765,5.47450464726981,4.82142503335752
-0.0400693535514765,5.47806169823719,4.82494389872941
-0.0400443535514765,5.47806169823719,4.82142503335752
-0.0400193535514765,5.47806169823719,4.82142503335752
-0.0399943535514765,5.47806169823719,4.82494389872941
-0.0399693535514765,5.47806169823719,4.82494389872941
-0.0399443535514765,5.47450464726981,4.82142503335752
-0.0399193535514765,5.47450464726981,4.82494389872941
-0.0398943535514765,5.47806169823719,4.82142503335752
-0.0398693535514765,5.47450464726981,4.82494389872941
-0.0398443535514765,5.47806169823719,4.82494389872941
-0.0398193535514765,5.47806169823719,4.82142503335752
-0.0397943535514765,5.47806169823719,4.82142503335752
-0.0397693535514765,5.47806169823719,4.82142503335752
-0.0397443535514764,5.47806169823719,4.82142503335752
-0.0397193535514765,5.47806169823719,4.82142503335752
-0.0396943535514765,5.47806169823719,4.82142503335752
-0.0396693535514765,5.47450464726981,4.82142503335752
-0.0396443535514765,5.47450464726981,4.82142503335752
-0.0396193535514765,5.47806169823719,4.82494389872941
-0.0395943535514765,5.47450464726981,4.82142503335752
-0.0395693535514765,5.47806169823719,4.82494389872941
-0.0395443535514765,5.47450464726981,4.82494389872941
-0.0395193535514765,5.47806169823719,4.82494389872941
-0.0394943535514765,5.47806169823719,4.82142503335752
-0.0394693535514765,5.47806169823719,4.82494389872941
-0.0394443535514765,5.47806169823719,4.82494389872941
-0.0394193535514765,5.47806169823719,4.82142503335752
-0.0393943535514765,5.47806169823719,4.82142503335752
-0.0393693535514765,5.47806169823719,4.82142503335752
-0.0393443535514764,5.47806169823719,4.82142503335752
-0.0393193535514765,5.47450464726981,4.82142503335752
-0.0392943535514765,5.47450464726981,4.82142503335752
-0.0392693535514765,5.47806169823719,4.82142503335752
-0.0392443535514765,5.47806169823719,4.82142503335752
-0.0392193535514764,5.47806169823719,4.82142503335752
-0.0391943535514765,5.47450464726981,4.82142503335752
-0.0391693535514765,5.47806169823719,4.82494389872941
-0.0391443535514764,5.47450464726981,4.82494389872941
-0.0391193535514765,5.47450464726981,4.82142503335752
-0.0390943535514765,5.47450464726981,4.82142503335752
-0.0390693535514765,5.47450464726981,4.82142503335752
-0.0390443535514765,5.47450464726981,4.82142503335752
-0.0390193535514765,5.47450464726981,4.82142503335752
-0.0389943535514765,5.47450464726981,4.82142503335752
-0.0389693535514765,5.47450464726981,4.82142503335752
-0.0389443535514764,5.47450464726981,4.82494389872941
-0.0389193535514765,5.47450464726981,4.82494389872941
-0.0388943535514765,5.47450464726981,4.82142503335752
-0.0388693535514765,5.47806169823719,4.82494389872941
-0.0388443535514765,5.47806169823719,4.82142503335752
-0.0388193535514764,5.47450464726981,4.82142503335752
-0.0387943535514765,5.47450464726981,4.82142503335752
